"film_id","year","length","budget","votes","genre","rating"
31804,2002,18,9.6,15,"Drama",8
25453,2000,98,13.8,23,"Action",3.3
5479,1989,81,11.5,57,"Documentary",7.9
44235,1995,100,7.5,32,"Action",3.4
14580,2003,80,10.8,30,"Action",2.6
31060,1990,90,13.8,81,"Comedy",3.5
44255,1967,98,13.6,19,"Documentary",8.2
22834,1987,58,15.6,24,"Documentary",8.6
58656,1968,174,11.3,89,"Comedy",4.4
23126,1931,3,15.7,7,"Comedy",7.9
58403,1991,100,14.3,563,"Drama",4.9
48004,1937,93,16.4,80,"Comedy",8.3
35454,1971,68,10.2,5,"Drama",4
58563,1987,NA,13.7,108,"Action",3.6
25377,1977,NA,14.3,9,"Comedy",8.5
33737,1972,105,8.6,61,"Action",4.5
2039,1999,NA,15.3,12,"Documentary",8.5
58299,1975,NA,15.1,158,"Animation",8.2
22438,2001,110,10.4,8037,"Comedy",4
15410,1936,69,12.1,45,"Comedy",7.4
18642,1994,142,9.3,89722,"Comedy",3.8
42298,2000,148,12.2,6,"Comedy",3.4
5,1975,71,13.5,17,"Action",4.6
10500,1944,71,15.2,124,"Drama",4.6
22021,1980,88,16.7,51,"Comedy",8.4
27560,1977,90,10.8,3756,"Comedy",8.3
11454,1941,7,10.9,37,"Animation",7.7
52193,1990,90,11.4,113,"Drama",4.6
11590,1995,42,14.2,100,"Short",8.9
38508,2002,88,15.1,5,"Comedy",8.4
10990,1986,95,14.8,10,"Action",3.9
49948,1972,89,12.8,8,"Comedy",4.2
36161,1982,89,12,42,"Action",2.5
26239,1901,3,9.3,5,"Documentary",9.1
12582,1997,5,9.9,21,"Comedy",7.2
45281,1979,91,8.7,33,"Action",2.5
52644,1970,105,15.8,12,"Comedy",8.1
886,1997,123,10.5,43,"Action",2.7
53182,2001,89,14.5,343,"Drama",4
39748,1990,100,10,63,"Action",4.9
7390,1959,95,10.5,51,"Comedy",7.4
12065,1994,54,13.9,16,"Documentary",8.6
56756,1970,96,14.2,184,"Comedy",8.3
28191,1961,95,13.4,24,"Drama",3.7
2267,1992,65,10,38,"Action",4.7
47806,1994,95,14.7,50,"Action",5
23099,1948,97,13.9,60,"Drama",4.9
58612,1961,6,15.6,31,"Animation",8.1
10457,1990,93,10.7,54,"Comedy",7.8
22152,1985,89,5.7,51,"Comedy",4.2
14728,1971,85,6.6,87,"Comedy",3.4
24016,1974,102,10,109,"Action",5.9
55122,1932,77,11.4,12,"Comedy",8.3
21417,1915,NA,9.4,13,"Drama",7.7
54090,1927,60,13.8,72,"Comedy",7.9
43921,1921,22,14.6,12,"Comedy",8
16282,1999,20,7.3,13,"Short",8.1
45539,1974,102,14,73,"Drama",4.7
29620,1934,6,15.9,12,"Animation",8
38463,2000,100,12.6,20,"Action",4.6
50701,1946,40,10.1,5,"Short",6.9
30262,1998,92,11.1,36,"Action",3.9
296,2000,105,11.2,25,"Comedy",4.7
20380,1944,95,14.5,19,"Comedy",7.8
11095,2000,84,13,629,"Action",3.9
48492,1986,120,10.2,75,"Comedy",4.1
49209,1963,97,11.6,35,"Drama",4.3
50639,2004,15,6.2,32,"Drama",3.3
56925,1936,19,14.8,7,"Comedy",8.4
28074,1982,97,12.4,10,"Drama",3.3
21519,1999,104,10.5,804,"Drama",4.8
49055,1997,97,10.7,1607,"Action",4.8
51532,2002,95,12.8,17,"Drama",2.4
31940,1992,100,7.9,503,"Comedy",4.7
29259,1951,59,17.5,12,"Action",8.3
44792,1983,103,12.6,15,"Comedy",7.5
83,1968,100,11.5,19,"Action",5.1
51854,1998,87,16.8,32,"Drama",2.8
14295,2003,13,14.2,22,"Comedy",8.1
45677,1964,86,14.9,7,"Drama",3.7
17415,1978,114,11.5,271,"Drama",2.7
42964,1990,74,8.4,1649,"Animation",4
33887,1985,100,11.5,750,"Action",3.2
39739,1990,80,16.8,19,"Animation",5.6
13573,1995,25,8.1,10,"Short",8.6
48580,1938,66,11.7,7,"Drama",2.3
54450,1992,117,9.8,2297,"Action",5.6
20109,1979,NA,7.7,42,"Action",4.4
52407,1962,129,14.6,30139,"Drama",4.9
26672,1986,77,14.1,111,"Comedy",9
26290,2004,107,16.8,51,"Action",8
7159,1947,70,9.4,23,"Action",2.5
38828,1997,97,11.7,11,"Action",5.1
39351,1999,88,5.1,14,"Drama",4.7
46356,1980,100,13,63,"Action",3.3
9092,1985,76,11.9,10,"Action",5.3
48733,1977,NA,12.8,60,"Drama",4.9
25163,1998,50,15.3,8,"Documentary",7.2
7970,1990,68,10.9,17,"Action",1.7
14136,2003,83,14.3,7,"Documentary",7.9
53858,1951,106,13.3,65,"Action",4.4
56110,1967,100,9.8,18,"Documentary",7.7
43755,1948,86,13.6,16,"Action",2.6
14555,1996,94,14.7,226,"Drama",2.6
35994,2002,6,14.4,5,"Animation",7.9
47726,1943,126,20.1,187,"Drama",2.8
29170,1966,92,10.8,42,"Comedy",7.9
26824,2001,93,17.5,59,"Action",8
15795,2001,91,14.7,17,"Action",3.8
3850,1992,74,14.1,7,"Comedy",8.3
12770,2001,98,16.2,15,"Action",8.4
12006,1995,119,12,3942,"Action",2.9
7923,1941,72,9.4,5,"Drama",2
41419,1935,75,14.6,11,"Action",3.5
19222,2002,22,13,17,"Drama",8.1
40371,1972,99,9.1,55,"Drama",2.8
12613,1934,83,13.4,12,"Comedy",8.2
56144,1952,81,13.8,22,"Drama",3.3
42430,1972,91,12.9,34,"Action",4.4
5365,1948,82,9,10,"Drama",4.2
2650,2005,85,16.5,32,"Animation",3.8
5694,1999,90,14.7,15,"Action",4.3
21487,1944,121,6.3,21,"Drama",4.9
21411,1995,101,17,3711,"Comedy",1.8
23339,1987,97,12.1,48,"Action",3.7
54822,1953,67,11.7,23,"Action",3.7
36926,1940,10,9.1,6,"Documentary",8
47033,1941,64,9,20,"Drama",5.1
5201,1989,102,13.1,5,"Drama",5.5
44340,1985,186,11.5,37,"Drama",2.1
48431,1999,73,12.3,54,"Documentary",7.9
27033,1978,37,14.7,36,"Short",7.5
23834,1981,83,12.3,8,"Action",4.3
52096,2003,104,6,106,"Documentary",4.6
52166,1987,98,11.7,9,"Action",5.1
51555,1932,79,9.6,13,"Comedy",8.2
7756,1996,107,11.4,164,"Comedy",4.4
27524,2000,10,12.8,18,"Short",7.6
38235,2000,86,10.7,12,"Action",2.7
35114,1999,124,9.5,2348,"Drama",4.2
44558,1942,43,8.9,213,"Animation",8.6
27435,1983,141,6.7,32,"Comedy",5.2
38222,2001,97,9,11,"Action",4.2
46467,1939,77,11.4,8,"Comedy",7
42220,1999,93,10.1,50,"Comedy",7.4
45472,1992,90,11.4,85,"Drama",4.7
58781,2001,13,9.9,7,"Animation",2.4
11658,1999,99,9.9,152,"Action",3.7
49875,1957,130,9.3,291,"Drama",2.6
30457,1954,76,9.3,18,"Action",4.2
38465,2001,96,12.3,46,"Action",4.8
19625,1955,67,11.6,7,"Drama",5
21604,1957,17,9.1,25,"Comedy",7.5
4304,1948,7,12,7,"Animation",8.1
1899,1942,7,6.2,9,"Animation",7.5
25284,1991,127,12.2,1246,"Drama",5
15847,1999,25,12.9,19,"Comedy",7.9
21793,2002,105,15,384,"Drama",2.7
54159,1988,171,6.5,5228,"Drama",4.8
15219,2004,200,10.8,76,"Drama",4.3
56461,2004,73,17.4,31,"Action",8.3
14651,1978,108,11.1,50,"Drama",4.9
58084,1982,114,11.8,543,"Drama",4.4
40245,2003,3,5.9,8,"Drama",5.4
33387,1934,8,9.4,9,"Animation",8
19066,1999,103,8.7,397,"Comedy",4.4
2580,1998,86,10.1,73,"Action",3.6
53379,1996,108,11.8,1030,"Comedy",3.4
36720,1958,86,11.3,22,"Drama",4.3
24959,1992,120,14.2,18,"Action",4.9
51001,1998,10,12.5,21,"Short",7.3
26798,1975,100,12.4,33,"Action",4.4
47555,1962,87,10.5,12,"Action",4.1
23768,1972,84,12.6,7,"Comedy",7.7
44016,1953,88,18.3,23,"Action",8
45542,2002,104,7.7,9481,"Comedy",4.1
10577,1967,107,12.3,17,"Action",3.6
5524,1930,17,15.4,14,"Comedy",7.9
21861,1921,131,10.6,31,"Drama",5
50039,1996,86,10.2,217,"Comedy",7.5
29507,1989,78,11.9,926,"Comedy",8.1
53141,1965,25,14.6,12,"Drama",8.1
29930,1951,91,10.1,42,"Drama",4.7
7468,1951,96,16,63,"Drama",3.7
41001,2004,3,6.8,5,"Animation",8
58046,1993,NA,10.5,544,"Action",3.7
46323,1998,90,12.1,28,"Comedy",8
17021,1979,104,7.3,12,"Drama",4.8
49114,1991,108,10.9,210,"Action",5.4
54651,1967,79,8.3,17,"Action",4.4
31823,1981,120,17.7,69,"Drama",4.4
44801,1984,127,14.1,9,"Action",3.1
5917,1938,66,11.9,6,"Action",3.6
3259,1910,16,11.3,5,"Drama",7.3
1793,1990,87,11.8,126,"Comedy",4.2
5911,1995,93,12,166,"Romance",4.3
23785,1970,90,11,42,"Action",4
158,1998,86,10.9,46,"Drama",4.7
49125,1957,88,9.8,30,"Drama",4.3
401,2000,83,13.5,12,"Action",3.9
8280,1948,111,13.1,785,"Drama",4.1
6706,1992,116,11.8,6,"Drama",4.7
25165,1941,90,9.7,308,"Comedy",4.8
49814,1941,90,14.4,2896,"Comedy",5.2
33519,1947,85,15.1,17,"Drama",2.9
17635,1979,110,13,15,"Comedy",8.6
1083,1939,58,15.1,29,"Drama",5
40661,2003,105,12.5,14,"Drama",5
8818,1959,86,10.2,259,"Comedy",4.8
29578,1976,92,14.8,9,"Drama",3.4
1594,1940,7,14.4,22,"Animation",7.3
32677,1987,132,12.4,1877,"Drama",4.8
24729,1984,91,11.1,1426,"Action",8.1
27987,1956,105,10.4,14,"Romance",4.4
38764,1987,100,8.6,18,"Action",4
5294,1932,NA,9.9,17,"Animation",3.7
31658,1968,117,14.9,215,"Action",4.5
53611,1958,98,12.7,112,"Comedy",7.3
27807,1999,23,13.9,32,"Short",7.7
44675,1997,104,9,172,"Action",4.4
18860,1943,74,8.6,550,"Action",3.6
49257,1973,86,12.2,29,"Drama",4.3
9089,1996,110,10,317,"Drama",4.2
3475,1952,85,11.2,22,"Drama",4.3
21092,1990,100,8.4,8,"Drama",3.5
2030,1979,112,11.8,249,"Drama",6
7926,1939,70,14.6,16,"Drama",4.2
16517,1997,93,7.4,9,"Action",3.7
35311,2002,92,15.2,2244,"Action",4.6
4854,1950,6,13.2,38,"Animation",8
11941,1987,113,13.5,66,"Documentary",7.8
43165,1965,92,10.4,33,"Drama",3.7
6204,1998,88,12.6,18,"Drama",3.7
1205,2000,87,14.5,6,"Drama",6.1
20917,1964,83,9.3,324,"Action",4.2
7403,1998,89,13.4,4449,"Comedy",7.3
34495,1940,100,13.4,456,"Drama",3.5
9763,1941,6,15.4,6,"Animation",8.1
16168,2003,27,11.9,6,"Comedy",8
42066,1951,7,14,175,"Animation",7.6
31465,1954,114,17.8,9,"Drama",4.8
53717,1934,91,14.5,446,"Comedy",7.6
43630,1997,105,9.3,685,"Drama",4.1
4264,1999,12,12.2,10,"Action",7.6
16356,1995,NA,14.8,12,"Action",3.7
35579,1959,73,12.2,8,"Action",3.5
34158,1984,48,13,68,"Comedy",8.1
1274,1993,139,13,6049,"Drama",3.5
38018,1968,104,12.5,32,"Comedy",8.5
44474,2000,90,11.5,31,"Drama",3.2
15568,2003,84,8.8,14,"Documentary",7.8
56652,1998,91,16.5,88,"Drama",4
20909,1933,220,9.5,7,"Action",1.8
55777,1967,NA,10,5,"Drama",5.3
20584,1987,5,7.6,24,"Animation",7.8
23187,1915,15,10.7,61,"Short",8.4
566,1977,101,9.7,14,"Comedy",4
16071,1969,97,16.2,6,"Action",8.1
10092,1999,126,18.3,18950,"Drama",3
44421,1931,73,9.8,49,"Drama",3.5
24175,1977,90,13,167,"Action",3.3
33488,1982,88,11.7,2101,"Comedy",3.3
21431,2005,10,15.2,5,"Animation",8.1
37604,1935,8,12.9,14,"Animation",7.4
6585,2003,3,11.9,5,"Short",7.8
27556,1976,90,11.3,80,"Comedy",4.2
1559,2004,175,5.3,11254,"Drama",3.4
56571,1931,18,15.3,5,"Comedy",8.5
20795,1969,91,15.4,104,"Action",1.5
27112,1999,115,10.5,610,"Comedy",6.2
52451,1986,96,13,18,"Action",6.3
54894,2002,94,13.5,7799,"Comedy",7.8
14432,1961,115,13.4,165,"Comedy",8
43524,1968,94,9.5,7,"Action",3.8
40823,1956,92,18.4,9,"Drama",2.6
12735,1977,78,15.7,15,"Action",8.6
46372,1945,56,15,13,"Action",3.7
14845,1990,112,6.8,58,"Action",3.6
28661,1995,60,6.9,7,"Documentary",3
8103,1993,89,16.4,1323,"Comedy",7.6
7029,1956,88,11.2,26,"Drama",3.5
5861,1940,94,14.2,61,"Drama",4.9
43153,1957,73,13.4,19,"Action",3.2
6675,1999,88,15.5,169,"Comedy",8
14306,1949,8,12.3,35,"Animation",8.4
12917,1988,94,16.3,7,"Action",8.2
48032,2004,98,17.5,399,"Comedy",8.1
34041,1965,103,8.9,19,"Comedy",2.9
57181,1953,30,10.5,10,"Short",8.3
10972,1968,69,4.6,15,"Action",3.3
31749,1997,98,18.4,251,"Drama",2.4
44526,2001,12,20,14,"Action",8.6
28033,1997,94,10,11,"Action",3.6
4209,1996,82,17.1,5,"Action",7.7
34910,1995,120,7.7,24,"Comedy",3.4
40010,1991,92,13.9,26,"Comedy",8.1
27452,1965,91,12.1,12,"Drama",5.3
17960,1996,101,6,1043,"Comedy",4.3
20615,1989,104,15.4,278,"Action",4.4
45318,1995,104,9.1,119,"Comedy",4.5
2939,1999,95,8.2,15,"Action",4.7
43416,1993,80,11.1,68,"Comedy",7.4
11561,1985,107,7.9,771,"Comedy",3.7
45235,1948,111,14,161,"Action",3.2
39832,1932,78,5.7,14,"Comedy",4.8
24282,1968,92,9.9,51,"Action",3.7
9823,1932,25,15.6,125,"Comedy",8.9
40894,1947,108,12.1,250,"Action",4.5
5675,1995,86,14.4,123,"Comedy",8
14019,1995,107,11.1,65,"Comedy",3.1
28174,1954,NA,13.7,26,"Comedy",7.9
32874,1977,85,14.2,41,"Action",3.7
46350,2003,74,13,31,"Drama",8.2
43515,1937,97,8,18,"Drama",4.2
27998,1931,76,14,5,"Action",4.2
38970,1978,107,11.6,401,"Drama",6.1
26392,1992,95,12.1,276,"Comedy",5.3
40660,1998,98,12,5,"Comedy",9
34308,1964,64,9.5,279,"Action",4.6
18825,1955,80,10.6,112,"Comedy",7.9
20174,1982,100,7.1,27,"Comedy",3.1
50273,1973,85,10.6,35,"Action",4.2
9983,1997,72,10.3,86,"Animation",2.7
39248,1984,22,10.4,8,"Comedy",8.2
23356,1947,17,11.7,60,"Comedy",8.2
57590,1988,102,12.6,495,"Drama",5.7
4649,2003,52,11.7,19,"Documentary",8.3
20772,2000,87,15.4,137,"Drama",4.5
6677,2000,90,13.5,80,"Drama",4.6
31209,2001,102,13.9,18,"Action",5.2
21603,1990,96,13.8,90,"Action",3.9
53755,1992,135,15.2,6927,"Drama",5.1
46419,2000,69,11.4,83,"Drama",3
57859,1968,99,9.2,57,"Drama",3.9
32925,1999,94,12,174,"Romance",4.4
20624,1976,83,6.3,18,"Action",4.8
24805,2000,97,14.4,1120,"Comedy",7.7
39593,1970,94,11,88,"Comedy",7.4
14449,1973,132,16.4,11,"Comedy",7.6
17762,1964,10,13.4,8,"Documentary",8.1
14508,1991,102,12.9,3648,"Comedy",7.6
27959,1985,85,9.5,26,"Comedy",3.1
2817,2001,108,13.2,7326,"Drama",4
1173,1975,92,13,112,"Comedy",4.2
22731,1999,85,13.5,30,"Comedy",4.3
35988,2004,NA,14.7,8,"Documentary",8.2
39560,1975,110,14,8,"Drama",2.4
40892,1961,89,12.9,48,"Action",2.4
34451,1986,NA,11.8,17,"Action",4.8
3119,1950,NA,18.5,5,"Action",8.4
23363,1985,114,15.1,281,"Comedy",8.8
30125,2004,111,8.3,1894,"Comedy",2.4
7071,1989,90,12,13,"Action",4.6
47636,1979,92,14.4,43,"Drama",3.6
52777,1926,88,10,75,"Drama",4
3110,1937,NA,12.8,5,"Action",2.6
4790,2005,104,13.8,518,"Comedy",7.5
24128,1957,79,7.6,24,"Comedy",2.9
24267,1992,45,9.2,10,"Action",7.6
42775,2000,17,13.6,8,"Action",7.7
38080,1959,143,10.3,58,"Drama",3.3
50178,1987,96,10.7,6,"Drama",4.1
8315,1943,55,5.8,16,"Action",2.1
13335,1955,7,11,61,"Animation",7.5
33471,1995,91,11,69,"Drama",4.5
45771,1968,100,10.5,11,"Drama",2.9
40692,1951,85,11.4,29,"Drama",3.3
9808,2000,45,9,7,"Action",4
42041,2001,165,11.6,250,"Drama",4.2
44301,1956,9,13.2,16,"Animation",7.5
20433,1953,115,15.1,1181,"Drama",3.3
29939,1987,90,5.4,5,"Action",3.7
6861,1939,8,11.6,19,"Animation",7.6
54130,2005,109,12.7,35,"Comedy",7.4
16819,2000,94,8.6,7380,"Drama",4.4
30037,1939,76,11.8,40,"Drama",2.9
51085,1975,74,14.9,25,"Action",4.2
14032,1994,128,18.4,7062,"Drama",3.8
19575,2002,166,11.7,34808,"Drama",4
19690,2002,83,9.7,1033,"Action",3.7
38309,2002,95,13.9,467,"Action",4.3
54246,1986,98,12.5,523,"Drama",2.8
44615,2000,97,14.3,108,"Drama",3.5
16252,1971,79,10.5,28,"Comedy",7.7
46244,2002,90,12,292,"Action",4.2
11118,1999,93,10.1,404,"Comedy",3.9
57882,1985,92,10.2,20,"Action",5.8
42403,1932,121,7.7,79,"Drama",3.3
56655,1998,94,9.4,110,"Drama",3.2
53757,2003,34,14.6,39,"Short",8.7
45858,1980,109,11.4,34,"Comedy",3.5
31938,1967,97,14.5,6,"Drama",3.5
49255,1970,90,13,17,"Drama",3.2
34825,1997,97,14.4,665,"Drama",3.3
53432,1999,90,13.2,14,"Drama",4.3
43557,1994,118,6.6,3056,"Comedy",3.4
19418,2001,15,12.8,8,"Drama",8.1
58651,1969,93,11,7,"Comedy",7.2
52578,2000,110,13.6,13,"Drama",3.7
44647,1972,90,8.9,32,"Drama",3.1
85,1968,105,14.9,21,"Drama",3.9
45219,1973,114,16.3,368,"Action",7.4
38474,2002,90,11.2,38,"Drama",3.4
50257,1996,88,8.8,119,"Action",4.8
5814,2003,19,17.5,10,"Short",8.1
20902,2004,4,11.4,53,"Animation",8.7
54842,1955,90,16.1,25,"Comedy",3.4
28065,1998,60,9.1,322,"Animation",4.9
37229,2002,9,9.3,19,"Short",7.9
27482,1984,NA,13.2,3314,"Animation",3.2
17967,1997,94,8.1,147,"Drama",4.4
43357,1949,70,14.7,21,"Action",5.3
3079,2000,18,12.9,31,"Action",8.5
14509,1937,62,12.3,12,"Comedy",7.8
37201,1958,90,13.2,20,"Comedy",8.2
57793,1993,NA,10,282,"Action",8.1
7187,1982,22,8.7,6,"Short",7.8
1070,1948,110,18,362,"Romance",4.1
41897,1978,240,14.1,64,"Action",3.6
14228,1978,88,10,35,"Action",3.9
52282,1984,110,12,9,"Drama",4.1
25382,1958,158,13.8,586,"Drama",5.1
11076,1981,103,13.9,1106,"Comedy",3.8
16549,2003,87,11.3,15,"Comedy",7.7
46022,1975,70,13.8,29,"Action",4.5
45029,2004,105,12.1,15,"Documentary",8.1
28166,1945,63,10.7,42,"Documentary",7.7
29322,1987,27,17.7,5,"Documentary",8.3
25534,1962,120,8.4,39,"Drama",3.6
33801,1978,88,15.1,19,"Action",2.8
34080,1997,90,10.5,74,"Drama",4.6
42371,1974,81,8.5,42,"Drama",4.2
8419,1998,101,12.4,8191,"Comedy",3.3
30003,2000,12,12.3,11,"Drama",8.1
32162,1985,35,10.1,23,"Short",7.9
41445,1974,103,11.1,287,"Comedy",3.1
35971,2005,27,14.3,9,"Short",7.9
43914,1995,4,7.3,5,"Animation",3.5
31174,1991,8,16,31,"Animation",8.3
36678,1948,98,6.7,6,"Drama",3.2
51112,2003,85,10.8,192,"Romance",3.8
29136,1956,98,12.6,180,"Action",5
596,2002,98,9,17,"Comedy",2.5
11567,1981,88,9.9,323,"Comedy",8
11056,1943,112,10.8,31,"Drama",4.2
47136,1975,3,8.3,11,"Animation",3.3
11504,2000,89,14.3,97,"Action",8.3
7206,1962,115,9,288,"Comedy",3.1
10160,1960,100,11,26,"Drama",3.7
15932,1960,120,13,5,"Action",3.1
37265,1965,NA,12.4,539,"Drama",2.8
17204,1980,79,7.2,12,"Action",4.1
29594,1988,120,7.4,115,"Documentary",3.7
47118,1956,103,8,14,"Drama",2.7
36059,2002,NA,17.7,268,"Action",8.8
47963,1969,90,12.8,14,"Comedy",8.5
11995,1993,109,12.2,56,"Drama",3.6
29059,1952,67,7.4,6,"Action",5
50549,1963,104,7.6,15,"Action",3.7
548,2003,119,7.4,8,"Action",2.5
50592,1959,100,14.2,6,"Drama",3.6
45034,1999,94,13.1,359,"Action",7.8
9730,1999,93,12,47,"Comedy",5.2
15358,1970,93,12.1,35,"Action",5.4
3741,1954,85,14.5,8,"Action",4.7
23368,1929,73,9.3,6,"Drama",4.6
10779,1995,100,8.3,18,"Drama",5
43312,1989,100,16.7,12,"Action",4
28631,1999,109,9.2,16,"Action",4.6
15572,2004,120,14.8,5,"Documentary",7.4
50746,1932,56,16.4,14,"Action",8.1
20446,1977,56,14.3,23,"Action",4.7
20781,1954,100,15,76,"Action",4.6
10213,2004,NA,13.5,10,"Documentary",7.7
22135,1945,8,8.3,62,"Animation",8.1
39948,1989,85,11.4,5,"Comedy",3.7
3025,2002,115,13.2,3594,"Drama",4.7
3982,1991,4,16.5,655,"Short",7.8
25811,1933,71,10,375,"Romance",4.2
55985,2002,90,9.8,150,"Comedy",4.5
40183,1994,13,11.4,6,"Comedy",7.8
39041,1998,127,12.9,4393,"Comedy",2.8
